episode,season,month,doy,mae,rmse,violations_pct,within_1c_pct,energy_kwh,reward,mean_slew,peak_power_w
0,Winter,12,353,0.1574312794332563,0.18546877413778887,0.0,100.0,50.62640082836151,-50.970664750784636,0.013569870892302084,3000.0
1,Spring,3,85,0.29206868134226105,0.3125527827583721,3.8194444444444446,100.0,45.2190732806921,-87.71146877110004,0.014046886656757846,2476.3652086257935
2,Summer,8,228,0.11615229884981436,0.16073458369092908,0.3472222222222222,99.65277777777777,12.743333266116679,-34.19960789696779,0.014009393933342724,3000.0
3,Fall,9,251,0.27865313841199774,0.32000819970975003,5.208333333333334,100.0,6.51556315459311,-80.70539252343588,0.012671598548050125,845.3609347343445
4,Winter,1,23,0.08085208233383151,0.10106789765643277,0.3472222222222222,100.0,42.878193737939,-26.852817091159523,0.0180278000412087,2571.43235206604
5,Spring,3,82,0.11997252126132797,0.15461472658909162,0.3472222222222222,100.0,23.59126365184784,-36.53037782548927,0.019521971405175503,2558.6875677108765
6,Summer,8,231,0.16125476988792087,0.1858578051988006,0.0,100.0,7.38793957978487,-46.87698811944574,0.009322995767776144,831.6932916641235
7,Fall,10,291,0.13222320675792446,0.17500577678292575,0.0,100.0,18.143174597993493,-39.084674971178174,0.012442010879931966,1755.3269863128662
8,Winter,2,41,0.10885860597792936,0.13078275613744525,0.0,100.0,40.8440146446228,-35.33618696592748,0.01759581729925468,2329.280734062195
9,Spring,4,114,0.13974735664746035,0.18628446340363303,0.3472222222222222,99.65277777777777,14.77076450176537,-41.17800170881674,0.011269982631613568,3000.0
10,Summer,7,196,0.2556378024490262,0.31438694845314735,9.722222222222223,100.0,6.198085254989564,-74.02545902505517,0.009364530755667736,1819.533348083496
11,Fall,11,321,0.16066660244946215,0.18322233587735479,0.3472222222222222,100.0,43.41304362565279,-49.398579503409564,0.012270659623661107,2348.122715950012
12,Winter,12,354,0.12402426672926338,0.17930485915772956,0.6944444444444444,99.65277777777777,40.64262691140175,-39.002415805123746,0.010195524746532639,3000.0
13,Spring,3,64,0.08294142655648402,0.0992954896240915,0.0,100.0,46.60609745979309,-27.964328287169337,0.016299097172474613,2659.4749689102173
14,Summer,7,203,0.1154891734469532,0.14521250211150535,0.3472222222222222,100.0,10.471940799616277,-33.894492996274494,0.013160282466885104,2653.704285621643
15,Fall,11,315,0.1114872461697028,0.1242624515273791,0.0,100.0,38.345055885612965,-34.360970431007445,0.012531600347379358,2704.576849937439
16,Winter,1,24,0.12837507760139127,0.18642245320419065,0.3472222222222222,99.65277777777777,35.79201865568757,-39.80986947752535,0.013002637475209784,3000.0
17,Spring,5,127,0.16072744276863807,0.20350556071437587,0.3472222222222222,99.65277777777777,20.035873165354133,-47.673936364473775,0.024561479765571367,3000.0
18,Summer,8,234,0.28811199503226237,0.3033189202255194,0.6944444444444444,100.0,2.6685748901218176,-83.16112459078431,0.004947660614181479,591.3019180297852
19,Fall,9,253,0.13493047227874636,0.17753589674859033,0.3472222222222222,100.0,8.570930529385805,-39.411273706005886,0.013123072605930554,1358.8117361068726
20,Winter,2,37,0.16563929588823967,0.2115630513787226,0.3472222222222222,100.0,48.86096900701523,-52.17950376495719,0.024159306225460996,3000.0
21,Spring,3,79,0.11566305665342831,0.14286069602336948,0.0,100.0,42.742949195206165,-36.234248431399465,0.011676597055242452,3000.0
22,Summer,7,196,0.11650355697394198,0.13338189585944307,0.3472222222222222,100.0,10.194923811592162,-34.162903849966824,0.012827309789557905,2152.2234678268433
23,Fall,9,270,0.2685849469180794,0.31071285675555654,8.680555555555555,100.0,22.180010915733874,-78.73231496289372,0.008458923249917578,1843.8198566436768
24,Winter,1,14,0.19371028462363546,0.33518390541080645,9.375,98.61111111111111,64.00617487728596,-61.774693079292774,0.013179143131402312,3000.0
25,Spring,5,144,0.09493470933902824,0.13717038671472512,0.3472222222222222,99.65277777777777,8.15367791056633,-27.915788484737277,0.015386117070601793,2157.0732593536377
26,Summer,6,178,0.10913187118185369,0.1305607344041731,0.0,100.0,9.544440316036344,-32.074275315739214,0.016562528908252716,2159.5959663391113
27,Fall,9,268,0.14915200268629514,0.18677962672531545,0.3472222222222222,100.0,13.815217619761825,-43.70551283971872,0.010533874458552238,3000.0
28,Winter,12,353,0.7485835172404212,1.0995196499750977,29.51388888888889,82.29166666666666,65.33993546664715,-222.77084156870842,0.007884488288533812,3000.0
29,Spring,3,64,0.12022869999527158,0.1425047192340452,0.3472222222222222,100.0,45.396869003772736,-38.9889580309391,0.018140376860256394,3000.0
30,Summer,7,190,0.14028027654142597,0.16306626366922586,0.0,100.0,10.188828686252236,-40.998447173507884,0.014375051269340184,1154.2929410934448
31,Fall,11,310,0.333009344784548,0.351711611719842,13.194444444444445,100.0,40.48605490475893,-98.43880010396242,0.008315377119110852,3000.0
32,Winter,1,10,0.0800822801775655,0.09559930467445565,0.0,100.0,34.30633893609047,-25.346264088526368,0.010719656009707302,2930.658280849457
33,Spring,4,99,0.0916078458738986,0.113707023136525,0.0,100.0,27.000647485256195,-27.677426936570555,0.009579786751743808,3000.0
34,Summer,7,184,0.11465630103534445,0.13631153554428788,0.0,100.0,13.66948678996414,-33.670989621663466,0.008801264396320237,1293.0808067321777
35,Fall,11,324,0.19894582868607985,0.24211039680968427,0.6944444444444444,99.65277777777777,44.58465796709061,-60.157606466673315,0.007610985003281969,3000.0
36,Winter,1,7,0.07373678297404236,0.10986015998770778,0.0,100.0,35.64534118771553,-23.987802820280194,0.006618313880747619,1937.6596212387085
37,Spring,4,112,0.16658726812344804,0.21427109297902805,1.0416666666666665,99.65277777777777,15.778814503923059,-49.10385157214478,0.02393951015189965,2346.052587032318
38,Summer,7,205,0.12236862698387226,0.14466909240615516,0.3472222222222222,100.0,8.108402657322586,-35.7268930694554,0.011576263694813026,1076.227605342865
