episode,season,month,doy,mae,rmse,violations_pct,within_1c_pct,energy_kwh,reward,mean_slew,peak_power_w
0,Winter,12,353,0.23899957160821333,0.38901567707016693,10.76388888888889,94.79166666666667,53.33267021179199,-74.36077094264328,0.005937376296478697,2467.9791927337646
1,Spring,4,91,0.10192752302313658,0.14544709662659044,0.3472222222222222,99.65277777777777,26.607561260461807,-30.739292901707813,0.006359737716900763,2879.330098628998
2,Summer,8,231,0.1347587472527737,0.16657272599830122,0.3472222222222222,99.65277777777777,7.337729185819626,-39.29374843859114,0.010737677069075847,2587.96763420105
3,Fall,11,322,0.4213330966483533,0.5484794403107988,37.5,92.01388888888889,39.07645703852177,-124.39477937109768,0.012613163177144652,2072.4406242370605
4,Winter,1,6,0.22074703407449078,0.5175328661375742,7.638888888888889,94.79166666666667,65.9224741011858,-69.2337589841336,0.008170724953508544,2991.8164014816284
5,Spring,5,131,0.11803627662672984,0.13965276391411044,0.0,100.0,20.32389721274376,-35.28425852023065,0.010886441955167657,1854.1431427001953
6,Summer,8,238,0.09584499065985468,0.10872529655875975,0.0,100.0,12.067301139235497,-28.239549884106964,0.01041511168463305,1000.9603500366211
7,Fall,11,315,0.3363182403868567,0.470954815606654,23.26388888888889,92.01388888888889,56.52237533032894,-101.10097750741988,0.012984701357652086,2896.7206478118896
8,Winter,1,23,0.1520407557792195,0.1843354700666952,0.0,100.0,31.768254414200783,-46.29087311727926,0.01214018349863511,2504.565954208374
9,Spring,3,66,0.6911341040630115,0.9622131808861781,50.69444444444444,80.20833333333334,65.02054907381535,-206.64320985600352,0.006860492744512259,2996.9045519828796
10,Summer,6,178,0.08990115558870622,0.1131462762464983,0.3472222222222222,100.0,5.5647594183683395,-26.248497386462986,0.008995100388543531,707.610547542572
11,Fall,9,246,0.29635760497469615,0.3731504450705395,28.47222222222222,100.0,19.640820056200027,-86.4310381555697,0.014069461656364414,1565.4569864273071
12,Winter,1,2,0.18018288011035455,0.21800144119752238,1.7361111111111112,100.0,46.952329233288765,-55.24106979742646,0.007953528535490667,2693.91006231308
13,Spring,5,135,0.11233294134663953,0.13552278785664873,0.0,100.0,8.487212345004082,-32.845336280588526,0.00945466694516172,1617.5594329833984
14,Summer,8,219,0.22894319875557775,0.26489088514768405,2.430555555555556,99.65277777777777,8.581170991063118,-66.45367558626458,0.009942057448397115,2453.279972076416
15,Fall,10,303,0.16055385262119223,0.17598310421128266,0.0,100.0,8.518785566091537,-46.78013590909541,0.008910286301935176,2241.846442222595
16,Winter,1,21,0.1585702601126228,0.19774201719964118,2.7777777777777777,100.0,32.192696839571,-48.18160568270832,0.006141532173555487,2796.686053276062
17,Spring,5,136,0.06074171868220568,0.07881421733217084,0.0,100.0,9.800319790840149,-18.015936362091452,0.009527590424341608,1012.215256690979
18,Summer,6,160,0.11175985614477607,0.14301944778913311,0.0,100.0,11.50013817846775,-32.80128591309767,0.010861685674780337,1046.2939739227295
19,Fall,11,325,0.23740826403254633,0.34093022433313497,12.152777777777777,99.65277777777777,35.71017727255821,-71.82081319019198,0.012734388640533341,2186.0697269439697
20,Winter,2,42,0.2298814443335274,0.32479983882645613,1.3888888888888888,98.95833333333333,34.263028636574745,-69.04015939496458,0.006169854348544875,1716.8751955032349
21,Spring,3,70,0.19340974221077756,0.21384902408002657,0.0,100.0,30.23841491341591,-57.36407789774239,0.008527250655436766,2490.2111291885376
22,Summer,7,187,0.14064854378282074,0.18294205614752687,0.0,100.0,10.466472417116165,-41.0981625483837,0.010942222764683101,1992.8544759750366
23,Fall,10,285,0.2878163203616413,0.3458778933477884,14.930555555555555,99.65277777777777,21.459989815950394,-84.28496402595192,0.016767486254928004,2861.227333545685
24,Winter,1,26,0.1739481320237781,0.2039387994209596,0.3472222222222222,100.0,35.270101234316826,-52.39179057814181,0.004988609290704495,2837.181508541107
25,Spring,3,75,0.15930138118982626,0.20007230788379174,0.3472222222222222,100.0,6.018769457936287,-46.25302541744895,0.00971194052945446,771.0524797439575
26,Summer,8,238,0.11444505690057463,0.19033184719853627,0.6944444444444444,99.65277777777777,6.813161939382553,-33.391391021898016,0.008171113525948874,2903.7108421325684
27,Fall,9,268,0.11801107346586412,0.13755571169281522,0.0,100.0,7.483375817537308,-34.43915099021979,0.008123712672589132,2294.1856384277344
28,Winter,12,357,0.2322241003807432,0.3156142325654142,6.597222222222222,97.56944444444444,28.309490337967873,-68.79146071942523,0.009397245242620594,1883.7064504623413
29,Spring,4,94,0.08632908674129607,0.11058165692498194,0.3472222222222222,100.0,34.89189890027046,-27.18971425667405,0.011196248207358117,2777.539372444153
30,Summer,8,228,0.2588623954192473,0.29187962785145305,4.513888888888888,100.0,9.640150681138039,-75.10986703098752,0.010517082978624085,1849.3294715881348
31,Fall,10,294,0.09147480357648824,0.13666004777003551,0.6944444444444444,99.65277777777777,35.32239207625389,-28.60398398619145,0.01959146315212449,2536.6206765174866
